product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
34,SKU-000034,Elite Artículo 34,Descripción detallada del producto 34,7,9,6,435.95,305.17,46.6,false,2023-09-08,2025-07-17
35,SKU-000035,Básico Set 35,Descripción detallada del producto 35,5,3,3,121.6,60.8,30.1,true,2023-10-26,2025-06-30
36,SKU-000036,Ultra Gadget 36,Descripción detallada del producto 36,10,5,4,146.18,67.24,43.1,true,2023-07-27,2025-01-14
37,SKU-000037,Max Herramienta 37,Descripción detallada del producto 37,5,7,2,121.39,77.69,9.8,true,2022-10-03,2025-06-06
38,SKU-000038,Pro Dispositivo 38,Descripción detallada del producto 38,9,1,7,293.18,146.59,44.1,true,2022-03-30,2024-10-20
39,SKU-000039,Max Herramienta 39,Descripción detallada del producto 39,2,5,7,259.68,179.18,30.1,true,2023-03-21,2025-06-28
40,SKU-000040,Max Set 40,Descripción detallada del producto 40,6,6,4,225.49,96.96,46.7,true,2022-01-01,2025-04-17
41,SKU-000041,Smart Pack 41,Descripción detallada del producto 41,7,10,2,71.84,39.51,36.4,true,2023-07-26,2025-10-03
42,SKU-000042,Super Gadget 42,Descripción detallada del producto 42,6,8,3,241.8,108.81,22.7,false,2022-11-04,2024-09-18
43,SKU-000043,Básico Pack 43,Descripción detallada del producto 43,2,10,8,365.01,251.86,33.6,true,2023-12-17,2024-01-12
44,SKU-000044,Super Gadget 44,Descripción detallada del producto 44,3,13,5,183.81,99.26,41.2,false,2023-02-20,2024-05-20
45,SKU-000045,Básico Equipo 45,Descripción detallada del producto 45,3,11,1,184.89,88.75,11.5,true,2022-10-29,2025-06-27
46,SKU-000046,Premium Producto 46,Descripción detallada del producto 46,6,15,5,455.87,314.55,40.9,false,2022-07-07,2024-10-23
47,SKU-000047,Smart Dispositivo 47,Descripción detallada del producto 47,6,2,1,288.68,167.43,46.5,false,2023-10-23,2025-05-17
48,SKU-000048,Mini Widget 48,Descripción detallada del producto 48,3,4,8,160.97,88.53,49.2,true,2023-02-24,2024-06-04
49,SKU-000049,Mini Producto 49,Descripción detallada del producto 49,7,9,8,168.14,79.03,25.8,true,2022-06-17,2024-11-13
50,SKU-000050,Premium Herramienta 50,Descripción detallada del producto 50,2,2,4,58.66,35.2,30.7,true,2022-10-21,2024-07-19
51,SKU-000051,Elite Set 51,Descripción detallada del producto 51,10,8,3,290.5,148.16,21.7,true,2023-06-29,2025-06-30
52,SKU-000052,Ultra Equipo 52,Descripción detallada del producto 52,5,7,6,134.43,59.15,44.3,true,2022-04-02,2024-05-31
53,SKU-000053,Smart Artículo 53,Descripción detallada del producto 53,2,12,7,105.42,52.71,43.1,true,2023-03-08,2025-07-11
54,SKU-000054,Pro Gadget 54,Descripción detallada del producto 54,6,12,7,345.07,148.38,10.9,true,2022-06-20,2025-10-04
55,SKU-000055,Mini Kit 55,Descripción detallada del producto 55,2,14,7,47.97,27.82,18.7,true,2022-12-15,2025-05-18
56,SKU-000056,Super Pack 56,Descripción detallada del producto 56,5,14,2,208.09,91.56,43.7,true,2022-09-21,2024-10-03
57,SKU-000057,Mini Herramienta 57,Descripción detallada del producto 57,2,4,2,55.56,37.23,50,true,2022-03-02,2025-05-24
58,SKU-000058,Pro Kit 58,Descripción detallada del producto 58,6,7,8,260.13,161.28,10.9,true,2023-01-22,2025-03-04
59,SKU-000059,Pro Pack 59,Descripción detallada del producto 59,10,11,1,132.49,72.87,37.2,true,2022-10-02,2024-03-06
60,SKU-000060,Básico Dispositivo 60,Descripción detallada del producto 60,3,11,5,317.43,158.72,47.3,true,2022-05-29,2024-02-17
61,SKU-000061,Elite Pack 61,Descripción detallada del producto 61,4,1,5,309.79,161.09,43.9,true,2022-06-30,2025-03-02
62,SKU-000062,Smart Set 62,Descripción detallada del producto 62,4,12,2,444.18,284.28,37.9,true,2022-05-12,2025-07-27
63,SKU-000063,Básico Widget 63,Descripción detallada del producto 63,7,4,3,380.74,194.18,6.7,true,2023-05-22,2025-12-15
64,SKU-000064,Mini Producto 64,Descripción detallada del producto 64,5,15,4,404.34,238.56,27.5,false,2022-05-15,2025-06-20
65,SKU-000065,Max Herramienta 65,Descripción detallada del producto 65,7,6,7,103.56,45.57,24.8,true,2023-07-22,2024-04-25
66,SKU-000066,Ultra Herramienta 66,Descripción detallada del producto 66,1,14,5,102.27,61.36,7.5,true,2022-12-03,2025-01-24
67,SKU-000067,Super Equipo 67,Descripción detallada del producto 67,2,12,7,319.21,137.26,26.6,true,2022-07-02,2024-07-04
68,SKU-000068,Mega Equipo 68,Descripción detallada del producto 68,10,3,2,488.86,303.09,48.4,true,2022-07-20,2024-05-03
69,SKU-000069,Premium Widget 69,Descripción detallada del producto 69,5,1,8,64.44,25.78,20.8,true,2023-07-26,2024-02-04
70,SKU-000070,Básico Herramienta 70,Descripción detallada del producto 70,9,7,2,380.26,243.37,27.5,false,2023-03-16,2024-07-16
71,SKU-000071,Pro Set 71,Descripción detallada del producto 71,7,4,1,234.88,110.39,41.8,true,2023-12-12,2025-03-15
72,SKU-000072,Pro Gadget 72,Descripción detallada del producto 72,7,3,7,257.72,139.17,33.4,true,2023-11-08,2025-07-07
73,SKU-000073,Max Set 73,Descripción detallada del producto 73,3,1,5,446.53,200.94,12,false,2022-12-24,2025-07-29
74,SKU-000074,Super Dispositivo 74,Descripción detallada del producto 74,2,5,3,463.46,287.35,10.7,true,2022-04-25,2024-10-06
75,SKU-000075,Max Equipo 75,Descripción detallada del producto 75,8,6,6,190.13,83.66,47.8,true,2022-09-16,2024-06-17
76,SKU-000076,Básico Set 76,Descripción detallada del producto 76,7,12,1,283.55,150.28,34.5,true,2023-11-08,2025-02-13
77,SKU-000077,Super Artículo 77,Descripción detallada del producto 77,1,9,8,493.21,256.47,10.6,true,2022-12-13,2025-05-14
78,SKU-000078,Elite Set 78,Descripción detallada del producto 78,1,7,1,441.78,242.98,4.3,true,2023-06-26,2024-11-26
79,SKU-000079,Premium Dispositivo 79,Descripción detallada del producto 79,8,6,6,460.63,234.92,15,true,2022-09-21,2024-05-04
80,SKU-000080,Elite Herramienta 80,Descripción detallada del producto 80,3,5,4,135.98,85.67,17.2,true,2022-09-11,2025-11-02
81,SKU-000081,Pro Set 81,Descripción detallada del producto 81,3,12,8,69.38,31.91,34.4,false,2022-08-31,2025-07-28
82,SKU-000082,Super Equipo 82,Descripción detallada del producto 82,3,10,4,327.17,173.4,39.1,false,2022-03-05,2025-10-24
83,SKU-000083,Super Gadget 83,Descripción detallada del producto 83,6,12,6,470.19,206.88,0.4,true,2022-04-10,2025-12-20
84,SKU-000084,Max Artículo 84,Descripción detallada del producto 84,9,9,3,362.77,243.06,16.1,true,2023-09-13,2024-08-31
85,SKU-000085,Premium Pack 85,Descripción detallada del producto 85,2,10,2,65.06,26.02,39.3,true,2022-01-04,2025-11-02
86,SKU-000086,Pro Herramienta 86,Descripción detallada del producto 86,1,1,8,405.91,276.02,15,true,2023-12-03,2025-08-21
87,SKU-000087,Max Set 87,Descripción detallada del producto 87,2,9,5,485.79,199.17,26.5,false,2023-08-17,2025-03-20
88,SKU-000088,Mini Widget 88,Descripción detallada del producto 88,3,3,6,322.06,196.46,17.3,true,2023-12-08,2024-12-30
89,SKU-000089,Max Artículo 89,Descripción detallada del producto 89,3,7,7,133.38,89.36,46.3,true,2022-07-21,2025-07-03
90,SKU-000090,Super Kit 90,Descripción detallada del producto 90,8,5,1,420.61,168.24,49.7,true,2022-01-02,2025-01-14
91,SKU-000091,Pro Dispositivo 91,Descripción detallada del producto 91,1,6,5,336.75,171.74,21.7,false,2023-03-28,2025-08-19
92,SKU-000092,Max Herramienta 92,Descripción detallada del producto 92,5,2,6,267.01,109.47,23.8,true,2022-02-04,2024-05-11
93,SKU-000093,Max Widget 93,Descripción detallada del producto 93,5,9,8,389.08,272.36,45.8,true,2023-02-04,2025-01-05
94,SKU-000094,Elite Producto 94,Descripción detallada del producto 94,4,2,7,443.5,274.97,12.9,true,2023-01-05,2025-11-07
95,SKU-000095,Smart Dispositivo 95,Descripción detallada del producto 95,5,11,8,397.59,238.55,45.2,true,2023-04-23,2024-07-05
96,SKU-000096,Básico Producto 96,Descripción detallada del producto 96,8,14,1,24.45,10.27,26.6,true,2023-05-02,2025-08-27
97,SKU-000097,Premium Pack 97,Descripción detallada del producto 97,8,7,5,337.32,148.42,23.4,true,2023-02-07,2025-02-05
98,SKU-000098,Premium Gadget 98,Descripción detallada del producto 98,2,14,7,152.13,79.11,39.4,true,2022-01-11,2024-04-02
99,SKU-000099,Mini Artículo 99,Descripción detallada del producto 99,3,8,5,403.91,230.23,34.2,true,2023-08-22,2025-12-02
100,SKU-000100,Básico Producto 100,Descripción detallada del producto 100,2,14,8,479.73,259.05,46.2,true,2022-04-22,2024-11-30
